"_id","_index","_score","_type","书名","作者","出版日期","出版社","售价","译者","链接"
"tdJKc3EBZhrcTXFrE-NX","douban_book_top250",0,"_doc","尼罗河上的惨案","[英] 阿加莎·克里斯蒂","2006-5","人民文学出版社","22.00元","宫英海","https://book.douban.com/subject/1818347/"
"ttJKc3EBZhrcTXFrE-Nt","douban_book_top250",0,"_doc","万物有灵且美","[英] 吉米·哈利","2010-1","中国城市出版社","28.80","种衍伦","https://book.douban.com/subject/4187411/"
"t9JKc3EBZhrcTXFrE-OB","douban_book_top250",0,"_doc","献给阿尔吉侬的花束","[美] 丹尼尔·凯斯","2015-4","广西师范大学出版社","36.00元","陈澄和","https://book.douban.com/subject/26362836/"
"uNJKc3EBZhrcTXFrE-OX","douban_book_top250",0,"_doc","民主的细节:美国当代政治观察随笔","刘瑜","2009-6","上海三联书店","25.00","-","https://book.douban.com/subject/3813669/"
"udJKc3EBZhrcTXFrE-Os","douban_book_top250",0,"_doc","最好的我们","八月长安","2013-8-5","湖南文艺出版社",55,"-","https://book.douban.com/subject/24754316/"
"utJKc3EBZhrcTXFrE-PF","douban_book_top250",0,"_doc","四世同堂","老舍","2008-07","北京十月文艺出版社","36.00元","-","https://book.douban.com/subject/3183775/"
"u9JKc3EBZhrcTXFrE-Pa","douban_book_top250",0,"_doc","总统是靠不住的:近距离看美国之二","林达","2004-08","生活·读书·新知三联书店","21.80","-","https://book.douban.com/subject/1056315/"
"vNJKc3EBZhrcTXFrE-Pv","douban_book_top250",0,"_doc","罗生门","[日]芥川龙之介","2008-7","上海译文出版社","12.00元","林少华","https://book.douban.com/subject/3136271/"
vdJKc3EBZhrcTXFrFOMG,"douban_book_top250",0,"_doc","荆棘鸟","[澳] 考琳·麦卡洛","1998-7","译林出版社","28.00元","曾胡","https://book.douban.com/subject/1086249/"
vtJKc3EBZhrcTXFrFOMZ,"douban_book_top250",0,"_doc","霸王别姬","李碧华","1999-1","人民文学出版社","10.20元","-","https://book.douban.com/subject/1088711/"
v9JKc3EBZhrcTXFrFOMv,"douban_book_top250",0,"_doc","全球通史:从史前史到21世纪","(美) 斯塔夫里阿诺斯","2012-2-1","北京大学出版社","168.00元","吴象婴","https://book.douban.com/subject/10583099/"
wNJKc3EBZhrcTXFrFOND,"douban_book_top250",0,"_doc","社会心理学:（第8版）","[美] 戴维·迈尔斯","2006-1","人民邮电出版社","68.00元","张智勇","https://book.douban.com/subject/1476651/"
wdJKc3EBZhrcTXFrFONZ,"douban_book_top250",0,"_doc","德米安:埃米尔·辛克莱的彷徨少年时","[德] 赫尔曼·黑塞","2009-3","上海人民出版社","25.00元","丁君君","https://book.douban.com/subject/3578470/"
wtJKc3EBZhrcTXFrFONv,"douban_book_top250",0,"_doc","天朝的崩溃:鸦片战争再研究","茅海建","2005-7","生活·读书·新知三联书店","32.00元","-","https://book.douban.com/subject/1675478/"
w9JKc3EBZhrcTXFrFOOD,"douban_book_top250",0,"_doc","小径分岔的花园","[阿根廷] 豪·路·博尔赫斯","2015-7","上海译文出版社","23.00","王永年","https://book.douban.com/subject/25796120/"
xNJKc3EBZhrcTXFrFOOZ,"douban_book_top250",0,"_doc","我不知道该说什么，关于死亡还是爱情:来自切尔诺贝利的声音","S.A.阿列克谢耶维奇","2014-6-15","花城出版社/铁葫芦图书","34.80元","方祖芳","https://book.douban.com/subject/25884880/"
xdJKc3EBZhrcTXFrFOOu,"douban_book_top250",0,"_doc","顾城的诗","顾城","1998-12","人民文学出版社","20.00","-","https://book.douban.com/subject/1033825/"
xtJKc3EBZhrcTXFrFOPD,"douban_book_top250",0,"_doc","受戒:汪曾祺自选集","汪曾祺","1987-10","漓江出版社","3.95元","-","https://book.douban.com/subject/1760432/"
x9JKc3EBZhrcTXFrFOPZ,"douban_book_top250",0,"_doc","棋王","阿城","1999-10","作家出版社","13.00","-","https://book.douban.com/subject/1020961/"
yNJKc3EBZhrcTXFrFOPt,"douban_book_top250",0,"_doc","牧羊少年奇幻之旅","[巴西] 保罗·柯艾略","2009-3-1","南海出版公司","25.00元","丁文林","https://book.douban.com/subject/3608208/"
ydJKc3EBZhrcTXFrFeMD,"douban_book_top250",0,"_doc","上学记","何兆武 口述","2006-8","生活·读书·新知三联书店","19.80元","-","https://book.douban.com/subject/1859140/"
ytJKc3EBZhrcTXFrFeMV,"douban_book_top250",0,"_doc","倚天屠龙记(共四册)","金庸","1999-04","三联书店","47.00","-","https://book.douban.com/subject/1070851/"
y9JKc3EBZhrcTXFrFeMq,"douban_book_top250",0,"_doc","一句顶一万句","刘震云","2009-3","长江文艺出版社","29.80","-","https://book.douban.com/subject/3633461/"
zNJKc3EBZhrcTXFrFeNA,"douban_book_top250",0,"_doc","故事:材质、结构、风格和银幕剧作的原理","[美] 罗伯特·麦基","2014-9-1","天津人民出版社","68.00元","周铁东","https://book.douban.com/subject/25976544/"
zdJKc3EBZhrcTXFrFeNV,"douban_book_top250",0,"_doc","正见:佛陀的证悟","宗萨蒋扬钦哲仁波切","2007-1","中国友谊出版公司","25.00元","姚仁喜","https://book.douban.com/subject/1963912/"
ztJKc3EBZhrcTXFrFeNq,"douban_book_top250",0,"_doc","此生未完成:一个母亲、妻子、女儿的生命日记","于娟","2011-5","湖南科技出版社","26.00元","-","https://book.douban.com/subject/6397275/"
"z9JKc3EBZhrcTXFrFeN_","douban_book_top250",0,"_doc","雨季不再来","三毛","2007-7","北京十月文艺出版社","28.00元","-","https://book.douban.com/subject/2136140/"
0NJKc3EBZhrcTXFrFeOU,"douban_book_top250",0,"_doc","认识电影:插图第11版","[美] 路易斯·贾内梯","2007-11","世界图书出版公司","68.00元","焦雄屏","https://book.douban.com/subject/2326403/"
0dJKc3EBZhrcTXFrFeOt,"douban_book_top250",0,"_doc","雷雨","曹禺","1999-05","人民文学出版社","9.20","-","https://book.douban.com/subject/1013416/"
0tJKc3EBZhrcTXFrFePD,"douban_book_top250",0,"_doc","理想国","[古希腊] 柏拉图","1986-8","商务印书馆","28.00元","郭斌和","https://book.douban.com/subject/1004821/"
09JKc3EBZhrcTXFrFePq,"douban_book_top250",0,"_doc","从一到无穷大:科学中的事实和臆测","[美] G. 伽莫夫","2002-11","科学出版社","29.00元","暴永宁 译","https://book.douban.com/subject/1102715/"
1NJKc3EBZhrcTXFrFuMB,"douban_book_top250",0,"_doc","草房子","曹文轩","2009-6","江苏少年儿童出版社","18.00元","-","https://book.douban.com/subject/1052990/"
1dJKc3EBZhrcTXFrFuMV,"douban_book_top250",0,"_doc","黑客与画家:硅谷创业之父PaulGraham文集","[美] Paul Graham","2011-4","人民邮电出版社","49.00元","阮一峰","https://book.douban.com/subject/6021440/"
1tJKc3EBZhrcTXFrFuMu,"douban_book_top250",0,"_doc","水浒传（全二册）","[明] 施耐庵","1997-1","人民文学出版社","50.60元","-","https://book.douban.com/subject/1008357/"
19JKc3EBZhrcTXFrFuNE,"douban_book_top250",0,"_doc","一桩事先张扬的凶杀案","[哥伦比亚] 加西亚·马尔克斯","2013-6","南海出版公司","25.00元","魏然","https://book.douban.com/subject/24382569/"
2NJKc3EBZhrcTXFrFuNZ,"douban_book_top250",0,"_doc","巨流河","齐邦媛","2010-10","生活·读书·新知三联书店","39.00元","-","https://book.douban.com/subject/4842446/"
2dJKc3EBZhrcTXFrFuNv,"douban_book_top250",0,"_doc","罪与罚","[俄] 陀思妥耶夫斯基","2006-8","上海译文出版社","23.00元","岳麟","https://book.douban.com/subject/1858568/"
2tJKc3EBZhrcTXFrFuOE,"douban_book_top250",0,"_doc","一千零一夜","纳训","2003-01","人民文学出版社","22.0","-","https://book.douban.com/subject/1035848/"
29JKc3EBZhrcTXFrFuOZ,"douban_book_top250",0,"_doc","圣经","中国基督教协会",,1996,,"中国基督教协会","https://book.douban.com/subject/1803022/"
3NJKc3EBZhrcTXFrFuOu,"douban_book_top250",0,"_doc","火星救援","[美] 安迪·威尔","2015-10","译林出版社","38.00","陈灼","https://book.douban.com/subject/26586492/"
3dJKc3EBZhrcTXFrFuPD,"douban_book_top250",0,"_doc","青铜时代:时代三部曲","王小波","1997-5","花城出版社","29.00元","-","https://book.douban.com/subject/1085883/"
3tJKc3EBZhrcTXFrFuPX,"douban_book_top250",0,"_doc","我的天才女友:那不勒斯四部曲-01","[意] 埃莱娜·费兰特","2017-1","人民文学出版社","42.00元","陈英","https://book.douban.com/subject/26878124/"
39JKc3EBZhrcTXFrFuPt,"douban_book_top250",0,"_doc","失明症漫记","(葡)若泽·萨拉马戈","2014-2","南海出版公司","29.50","范维信","https://book.douban.com/subject/20428302/"
"4NJKc3EBZhrcTXFrF-ME","douban_book_top250",0,"_doc","孙子兵法","孙武","2006-7","上海古籍出版社","20.00元","郭化若","https://book.douban.com/subject/1949420/"
"4dJKc3EBZhrcTXFrF-MZ","douban_book_top250",0,"_doc","人间草木","汪曾祺","2005-01","江苏文艺出版社","20.00元","-","https://book.douban.com/subject/1253310/"
"4tJKc3EBZhrcTXFrF-NA","douban_book_top250",0,"_doc","茶馆","老舍","2002-1","人民文学出版社","9.80元","-","https://book.douban.com/subject/1036613/"
"49JKc3EBZhrcTXFrF-NW","douban_book_top250",0,"_doc","金锁记","张爱玲","2005-6","哈尔滨出版社","13.5元","-","https://book.douban.com/subject/3017857/"
"5NJKc3EBZhrcTXFrF-Nr","douban_book_top250",0,"_doc","中国哲学简史","冯友兰","2004-1","新世界出版社","38.00元","赵复三","https://book.douban.com/subject/1021273/"
"5dJKc3EBZhrcTXFrF-OD","douban_book_top250",0,"_doc","繁花","金宇澄","2013-3","上海文艺出版社","48.00元","-","https://book.douban.com/subject/22714154/"
"5tJKc3EBZhrcTXFrF-OY","douban_book_top250",0,"_doc","银河帝国：基地七部曲:基地七部曲(""银河帝国""百万册纪念版）","[美] 艾萨克·阿西莫夫","2015-10-1","江苏凤凰文艺出版社","328.00元","叶李华","https://book.douban.com/subject/26389895/"
"59JKc3EBZhrcTXFrF-Ot","douban_book_top250",0,"_doc","设计中的设计","[日] 原研哉","2006-11","山东人民出版社","48.00元","朱锷","https://book.douban.com/subject/1941558/"
"6NJKc3EBZhrcTXFrF-PD","douban_book_top250",0,"_doc","简爱（英文全本）","[英] 夏洛蒂·勃朗特","2003-11","世界图书出版公司","18.00元","-","https://book.douban.com/subject/1141406/"
"6dJKc3EBZhrcTXFrF-Pb","douban_book_top250",0,"_doc",ZOO,"[日] 乙一","2007-10","当代世界出版社","20.00元","李颖秋","https://book.douban.com/subject/2297697/"
"6tJKc3EBZhrcTXFrF-Pw","douban_book_top250",0,"_doc","海风中失落的血色馈赠","[加拿大] 阿利斯泰尔·麦克劳德","2015-6-1","上海文艺出版社","CNY 20.00","陈以侃","https://book.douban.com/subject/26357614/"
69JKc3EBZhrcTXFrGOMF,"douban_book_top250",0,"_doc","恶意","[日] 东野圭吾","2009-6","南海出版公司","18.00","娄美莲","https://book.douban.com/subject/3646172/"
7NJKc3EBZhrcTXFrGOMa,"douban_book_top250",0,"_doc","狂热分子:群众运动圣经","[美] 埃里克·霍弗","2011-6","广西师范大学出版社","34.00元","梁永安","https://book.douban.com/subject/3057556/"
7dJKc3EBZhrcTXFrGOMv,"douban_book_top250",0,"_doc","世界的凛冬:世纪三部曲2","[英] 肯·福莱特","2017-3-1","江苏凤凰文艺出版社","132.00（全三册）","陈杰","https://book.douban.com/subject/26957760/"
7tJKc3EBZhrcTXFrGONF,"douban_book_top250",0,"_doc","象棋的故事","[奥] 斯台芬·茨威格","2007-7","上海译文出版社","23.00元","张玉书","https://book.douban.com/subject/2158684/"
79JKc3EBZhrcTXFrGONa,"douban_book_top250",0,"_doc","影响力","[美] 罗伯特·西奥迪尼","2006-5","中国人民大学出版社","45.00元","陈叙","https://book.douban.com/subject/1786387/"
8NJKc3EBZhrcTXFrGONv,"douban_book_top250",0,"_doc","强风吹拂","三浦紫苑","2015-1-1","广西师范大学出版社","39.00元","林佩瑾","https://book.douban.com/subject/26210487/"
8dJKc3EBZhrcTXFrGOOE,"douban_book_top250",0,"_doc","额尔古纳河右岸","迟子建","2005-12-1","北京十月文艺出版社","29.00元","-","https://book.douban.com/subject/3311253/"
8tJKc3EBZhrcTXFrGOOZ,"douban_book_top250",0,"_doc","世界尽头与冷酷仙境","[日] 村上春树","2002-12","上海译文出版社","23.00元","林少华","https://book.douban.com/subject/1291809/"
89JKc3EBZhrcTXFrGOOw,"douban_book_top250",0,"_doc","众病之王:癌症传","[美] 悉达多·穆克吉","2013-2-4","中信出版社","42.00元","李虎","https://book.douban.com/subject/20507206/"
9NJKc3EBZhrcTXFrGOPG,"douban_book_top250",0,"_doc","毛姆短篇小说精选集","(英)威廉·萨默塞特·毛姆","2012-11","译林出版社","36.00元","冯亦代","https://book.douban.com/subject/10774752/"
9dJKc3EBZhrcTXFrGOPb,"douban_book_top250",0,"_doc","你一生的故事:特德·姜科幻小说集","[美] 特德·姜","2015-5","译林出版社","36.00元","李克勤","https://book.douban.com/subject/26295448/"
9tJKc3EBZhrcTXFrGOPw,"douban_book_top250",0,"_doc","庄子:中华经典藏书","孙通海 译注","2007-04","中华书局","20.00元","方勇 译注","https://book.douban.com/subject/2046236/"
99JKc3EBZhrcTXFrGeMG,"douban_book_top250",0,"_doc","香水:一个谋杀犯的故事","[德] 帕·聚斯金德","2005-5","上海译文出版社","20.00元","李清华","https://book.douban.com/subject/1292416/"
"-NJKc3EBZhrcTXFrGeMc","douban_book_top250",0,"_doc","夏洛的网","[美] E.B.怀特","2004-5","上海译文出版社","17.00元","任溶溶","https://book.douban.com/subject/1036274/"
"-dJKc3EBZhrcTXFrGeMz","douban_book_top250",0,"_doc","挪威的森林","[日] 村上春树","2007-7","上海译文出版社","23.00元","林少华","https://book.douban.com/subject/2159042/"
"-tJKc3EBZhrcTXFrGeNI","douban_book_top250",0,"_doc","佐贺的超级阿嬷","[日] 岛田洋七","2007-3","南海出版公司","20.00元","陈宝莲","https://book.douban.com/subject/2008284/"
"-9JKc3EBZhrcTXFrGeNf","douban_book_top250",0,"_doc","稻草人手记","三毛","2009-3","北京十月文艺出版社","18.00元","-","https://book.douban.com/subject/3607117/"
"_NJKc3EBZhrcTXFrGeNy","douban_book_top250",0,"_doc","步履不停","[日] 是枝裕和","2017-5","北京联合出版公司","36.80元","郑有杰","https://book.douban.com/subject/26963321/"
"_dJKc3EBZhrcTXFrGeOH","douban_book_top250",0,"_doc","论语","中华书局",,"9.80元",,"2006-12","https://book.douban.com/subject/1964774/"
"_tJKc3EBZhrcTXFrGeOd","douban_book_top250",0,"_doc","社会契约论","卢梭","2003-2-1","商务印书馆","18.00元","何兆武","https://book.douban.com/subject/1277981/"
"_9JKc3EBZhrcTXFrGeOy","douban_book_top250",0,"_doc","牡丹亭","汤显祖","1963-4-1","人民文学出版社","14.50元","-","https://book.douban.com/subject/1073708/"
ANJKc3EBZhrcTXFrGeTH,"douban_book_top250",0,"_doc","告白","[日]凑佳苗","2010年6月","哈尔滨出版社","26.00元","丁世佳","https://book.douban.com/subject/4836682/"
AdJKc3EBZhrcTXFrGeTt,"douban_book_top250",0,"_doc","多情剑客无情剑(上、中、下)","古龙","1991-12-01","海天出版社","49.8","-","https://book.douban.com/subject/1422833/"
AtJKc3EBZhrcTXFrGuQC,"douban_book_top250",0,"_doc","通往奴役之路","(英)弗里德利希·奥古斯特·哈耶克","1997-08-01","中国社会科学出版社","16.00","王明毅","https://book.douban.com/subject/1077528/"
A9JKc3EBZhrcTXFrGuQX,"douban_book_top250",0,"_doc","二手时间","[白俄] S. A. 阿列克谢耶维奇","2016-1","中信出版集团","55.00元","吕宁思","https://book.douban.com/subject/26704403/"
BNJKc3EBZhrcTXFrGuQt,"douban_book_top250",0,"_doc","人类的群星闪耀时","[奥] 斯蒂芬·茨威格","2004-8","广西师范大学出版社","18.00元","舒昌善","https://book.douban.com/subject/1083762/"
BdJKc3EBZhrcTXFrGuRC,"douban_book_top250",0,"_doc","欢乐英雄","古龙","2005-8","珠海出版社","28.00元","-","https://book.douban.com/subject/1264579/"
BtJKc3EBZhrcTXFrGuRa,"douban_book_top250",0,"_doc","当呼吸化为空气","[美] 保罗·卡拉尼什","2016-12","猫头鹰文化·浙江文艺出版社","48.00元","何雨珈","https://book.douban.com/subject/26896859/"
B9JKc3EBZhrcTXFrGuRv,"douban_book_top250",0,"_doc","荒原狼","[德]赫尔曼·黑塞","2008-7","上海译文出版社","13.00","赵登荣","https://book.douban.com/subject/3131626/"
CNJKc3EBZhrcTXFrGuSF,"douban_book_top250",0,"_doc","老人与海","海明威","1999-10","上海译文出版社","8.20元","吴劳","https://book.douban.com/subject/1064275/"
CdJKc3EBZhrcTXFrGuSa,"douban_book_top250",0,"_doc","别闹了，费曼先生:科学顽童的故事","费曼","1997-12","生活·读书·新知三联书店","22.00","吴程远","https://book.douban.com/subject/1037602/"
CtJKc3EBZhrcTXFrGuSv,"douban_book_top250",0,"_doc","故事新编","鲁迅","1973-12-01","人民文学出版社","0.31 元","-","https://book.douban.com/subject/2046909/"
C9JKc3EBZhrcTXFrGuTE,"douban_book_top250",0,"_doc","一个人的村庄","刘亮程","2006-1-1","春风文艺出版社","28.00元","-","https://book.douban.com/subject/1692648/"
DNJKc3EBZhrcTXFrGuTa,"douban_book_top250",0,"_doc","金阁寺","[日] 三岛由纪夫","2009-1","上海译文出版社","24.00","唐月梅","https://book.douban.com/subject/3391248/"
DdJKc3EBZhrcTXFrGuTv,"douban_book_top250",0,"_doc","美国宪政历程:影响美国的25个司法大案","任东来","2014-1","中国法制出版社","35.00元","-","https://book.douban.com/subject/1144185/"
"DtJKc3EBZhrcTXFrG-QE","douban_book_top250",0,"_doc","批评官员的尺度:《纽约时报》诉警察局长沙利文案","[美] 安东尼·刘易斯","2011-7","北京大学出版社","32.00元","何帆","https://book.douban.com/subject/6401128/"
"D9JKc3EBZhrcTXFrG-QZ","douban_book_top250",0,"_doc","西方哲学史（上卷）","[英] 罗素","1963-9","商务印书馆","25.00","何兆武","https://book.douban.com/subject/1008189/"
"ENJKc3EBZhrcTXFrG-Q8","douban_book_top250",0,"_doc","哈姆莱特","[英] 莎士比亚","2001-1","人民文学出版社","7.00元","朱生豪","https://book.douban.com/subject/1006197/"
"EdJKc3EBZhrcTXFrG-RV","douban_book_top250",0,"_doc","过于喧嚣的孤独","(捷克) 赫拉巴尔","2011-10","北京十月文艺出版社","22.00元","杨乐云","https://book.douban.com/subject/6781794/"
"EtJKc3EBZhrcTXFrG-R5","douban_book_top250",0,"_doc","美丽新世界","[英] 阿道司·赫胥黎","2005-6","重庆出版社","20.00元","王波","https://book.douban.com/subject/1321789/"
"E9JKc3EBZhrcTXFrG-Sn","douban_book_top250",0,"_doc","海底两万里","[法国] 儒尔·凡尔纳","2002-9","译林出版社","19.50元","沈国华","https://book.douban.com/subject/1085470/"
"FNJKc3EBZhrcTXFrG-S-","douban_book_top250",0,"_doc","骆驼祥子","老舍","2000-3-1","人民文学出版社","12.00","-","https://book.douban.com/subject/1043815/"
"FdJKc3EBZhrcTXFrG-TS","douban_book_top250",0,"_doc","2001太空漫游","[英] 阿瑟·克拉克","2007-11","上海人民出版社","28.00元","郝明义","https://book.douban.com/subject/2340609/"
"FtJKc3EBZhrcTXFrG-Tt","douban_book_top250",0,"_doc","尘埃落定","阿来","1998-3-1","人民文学出版社","22.0","-","https://book.douban.com/subject/1080309/"
F9JKc3EBZhrcTXFrHOQC,"douban_book_top250",0,"_doc","心理学与生活","[美] 理查德·格里格","2003-10","人民邮电出版社","88.00元","王垒","https://book.douban.com/subject/1032501/"
GNJKc3EBZhrcTXFrHOQY,"douban_book_top250",0,"_doc","规训与惩罚:监狱的诞生","[法] 米歇尔·福柯","2003-1","生活·读书·新知三联书店","21.80元","刘北成","https://book.douban.com/subject/1012307/"
GdJKc3EBZhrcTXFrHOQt,"douban_book_top250",0,"_doc","长袜子皮皮","[瑞典] 阿斯特丽德·林格伦","1999-3","中国少年儿童出版社","17.80元","李之义","https://book.douban.com/subject/1004088/"
GtJKc3EBZhrcTXFrHORD,"douban_book_top250",0,"_doc","那些回不去的年少时光·终场","桐华","2010-04","江苏文艺出版社","23.80元","-","https://book.douban.com/subject/4732378/"
G9JKc3EBZhrcTXFrHORY,"douban_book_top250",0,"_doc","小姨多鹤","严歌苓","2008-4","作家出版社","28.00元","-","https://book.douban.com/subject/3012517/"
HNJKc3EBZhrcTXFrHORu,"douban_book_top250",0,"_doc","棋王·树王·孩子王","阿城","2016-3-1","江苏文艺出版社","58.00","-","https://book.douban.com/subject/26734559/"
HdJKc3EBZhrcTXFrHOSE,"douban_book_top250",0,"_doc","社会性动物","Elliot Aronson","2007-12","华东师范大学出版社","45.00元","邢占军","https://book.douban.com/subject/2328458/"
HtJKc3EBZhrcTXFrHOSb,"douban_book_top250",0,"_doc","呼啸山庄","（英）勃朗特","1999-01-01","人民文学出版社","27.30元","张扬","https://book.douban.com/subject/1119522/"
H9JKc3EBZhrcTXFrHOSw,"douban_book_top250",0,"_doc","心是孤独的猎手","[美] 卡森·麦卡勒斯","2005-8","上海三联书店","25.00元","陈笑黎","https://book.douban.com/subject/1424741/"
INJKc3EBZhrcTXFrHOTF,"douban_book_top250",0,"_doc","陆小凤传奇","古龙","2005-8","珠海出版社","94.00元","-","https://book.douban.com/subject/1089512/"
IdJKc3EBZhrcTXFrHOTc,"douban_book_top250",0,"_doc","娱乐至死","[美] 尼尔·波兹曼","2011-6","广西师范大学出版社","29.80元","章艳","https://book.douban.com/subject/1062193/"
ItJKc3EBZhrcTXFrHOTw,"douban_book_top250",0,"_doc","了不起的盖茨比","[美] 斯科特·菲茨杰拉德","2012-5","南海出版公司","25.00元","邓若虚","https://book.douban.com/subject/10738023/"
