"_id","_index","_score","_type","书名","作者","出版日期","出版社","售价","译者","链接"
SdJKc3EBZhrcTXFrCePZ,"douban_book_top250",0,"_doc","夹边沟记事","杨显惠","2008-09","花城出版社","34.00元","-","https://book.douban.com/subject/3239549/"
StJKc3EBZhrcTXFrCePz,"douban_book_top250",0,"_doc","嫌疑人X的献身","[日] 东野圭吾","2008-9","南海出版公司","28.00","刘子倩","https://book.douban.com/subject/3211779/"
S9JKc3EBZhrcTXFrCuMI,"douban_book_top250",0,"_doc","江城","[美] 彼得·海斯勒","2012-1","上海译文出版社","36.00元","李雪顺","https://book.douban.com/subject/7060185/"
TNJKc3EBZhrcTXFrCuMd,"douban_book_top250",0,"_doc","寻路中国:从乡村到工厂的自驾之旅","[美] 彼得·海斯勒","2011-1","上海译文出版社","33.00元","李雪顺","https://book.douban.com/subject/5414391/"
TdJKc3EBZhrcTXFrCuMy,"douban_book_top250",0,"_doc","刀锋","[英]毛姆","2007-3","上海译文出版社","18.00元","周煦良","https://book.douban.com/subject/2035162/"
TtJKc3EBZhrcTXFrCuNI,"douban_book_top250",0,"_doc","呐喊","鲁迅","1973年3月","人民文学出版社","0.36元","-","https://book.douban.com/subject/1449351/"
T9JKc3EBZhrcTXFrCuNd,"douban_book_top250",0,"_doc","射雕英雄传（全四册）","金庸","1999-04","生活·读书·新知三联书店","47.00元","-","https://book.douban.com/subject/1044547/"
UNJKc3EBZhrcTXFrCuNy,"douban_book_top250",0,"_doc","新名字的故事:那不勒斯四部曲-02","[意] 埃莱娜·费兰特","2017-4","人民文学出版社","59.00元","陈英","https://book.douban.com/subject/26986954/"
UdJKc3EBZhrcTXFrCuOH,"douban_book_top250",0,"_doc","城南旧事:纪念普及版","林海音 文","2003-7","中国青年出版社","16.00元","-","https://book.douban.com/subject/1254588/"
UtJKc3EBZhrcTXFrCuOd,"douban_book_top250",0,"_doc","乡土中国","费孝通","2006-4","上海人民出版社","38.00","-","https://book.douban.com/subject/1795079/"
U9JKc3EBZhrcTXFrCuO3,"douban_book_top250",0,"_doc","冰与火之歌:（1-5卷：权力的游戏、列王的纷争、冰雨的风暴、群鸦的盛宴、魔龙的狂","[美]乔治·R.R.马丁","2013-10-1","重庆出版社","330.00元","谭光磊","https://book.douban.com/subject/25826936/"
